filename, language, CSS, JavaScript, comment, blank, total
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\App.css, CSS, 120, 0, 1, 26, 147
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\App.js, JavaScript, 0, 40, 0, 4, 44
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\App.test.js, JavaScript, 0, 8, 0, 2, 10
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\UserContext.js, JavaScript, 0, 36, 0, 12, 48
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\index.js, JavaScript, 0, 8, 3, 5, 16
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\Game.js, JavaScript, 0, 314, 0, 30, 344
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\GameOver.js, JavaScript, 0, 25, 0, 2, 27
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\PositionSlider.js, JavaScript, 0, 24, 0, 3, 27
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\PowerUp.js, JavaScript, 0, 63, 0, 5, 68
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\Team.js, JavaScript, 0, 113, 0, 7, 120
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\guessing\Guessing.js, JavaScript, 0, 161, 0, 9, 170
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\guessing\Letter.js, JavaScript, 0, 78, 0, 12, 90
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\game\guessing\Word.js, JavaScript, 0, 78, 0, 12, 90
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\guessing\Guessing.js, JavaScript, 0, 86, 0, 9, 95
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\layout\Navbar.js, JavaScript, 0, 15, 0, 6, 21
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\settings\GameSettings.js, JavaScript, 0, 85, 0, 4, 89
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\settings\Playlists.js, JavaScript, 0, 181, 3, 17, 201
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\settings\SelectPlaylists.js, JavaScript, 0, 73, 0, 8, 81
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\settings\SelectTeams.js, JavaScript, 0, 22, 0, 5, 27
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\settings\Settings.js, JavaScript, 0, 183, 0, 10, 193
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\util\Countdown.js, JavaScript, 0, 17, 0, 5, 22
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\util\CustomAlert.js, JavaScript, 0, 24, 0, 2, 26
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\util\Logger.js, JavaScript, 0, 8, 0, 4, 12
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\pages\util\TooltipButton.js, JavaScript, 0, 13, 0, 2, 15
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\serviceWorker.js, JavaScript, 0, 94, 31, 13, 138
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\setupTests.js, JavaScript, 0, 1, 4, 1, 6
d:\Dokumentumok\Spotify Music Guesser\web-api-auth-examples\client\src\util\Util.js, JavaScript, 0, 22, 4, 7, 33
Total, -, 120, 1772, 46, 222, 2160